frame,time,left_density,right_density,total_density
792,31.68,9,9,18
793,31.72,11,9,20
794,31.76,11,9,20
795,31.8,10,9,19
796,31.84,9,9,18
797,31.88,9,9,18
798,31.92,9,9,18
799,31.96,10,9,19
800,32.0,10,9,19
801,32.04,9,8,17
802,32.08,9,8,17
803,32.12,10,8,18
804,32.16,10,8,18
805,32.2,10,8,18
806,32.24,10,8,18
807,32.28,10,8,18
808,32.32,10,8,18
809,32.36,11,7,18
810,32.4,12,7,19
811,32.44,11,8,19
812,32.48,12,7,19
813,32.52,9,8,17
814,32.56,10,8,18
815,32.6,10,8,18
816,32.64,10,8,18
817,32.68,11,8,19
818,32.72,11,8,19
819,32.76,11,8,19
820,32.8,12,8,20
821,32.84,11,8,19
822,32.88,10,8,18
823,32.92,11,8,19
824,32.96,11,8,19
825,33.0,11,8,19
826,33.04,11,8,19
827,33.08,11,8,19
828,33.12,10,8,18
829,33.16,10,8,18
830,33.2,10,8,18
831,33.24,10,8,18
832,33.28,10,8,18
833,33.32,11,8,19
834,33.36,11,8,19
835,33.4,11,7,18
836,33.44,11,7,18
837,33.48,11,7,18
838,33.52,11,7,18
839,33.56,11,7,18
840,33.6,11,7,18
841,33.64,12,6,18
842,33.68,13,6,19
843,33.72,13,6,19
844,33.76,13,6,19
845,33.8,12,6,18
846,33.84,12,6,18
847,33.88,12,5,17
848,33.92,10,5,15
849,33.96,8,5,13
850,34.0,9,5,14
851,34.04,10,5,15
852,34.08,12,5,17
853,34.12,11,5,16
854,34.16,11,5,16
855,34.2,13,5,18
856,34.24,12,5,17
857,34.28,12,5,17
858,34.32,13,5,18
859,34.36,13,5,18
860,34.4,12,5,17
861,34.44,12,5,17
862,34.48,12,5,17
863,34.52,13,5,18
864,34.56,12,5,17
865,34.6,13,5,18
866,34.64,11,4,15
867,34.68,10,4,14
868,34.72,10,4,14
869,34.76,10,4,14
870,34.8,13,4,17
871,34.84,13,4,17
872,34.88,14,4,18
873,34.92,11,4,15
874,34.96,13,4,17
875,35.0,10,4,14
876,35.04,9,4,13
877,35.08,9,5,14
878,35.12,11,5,16
879,35.16,11,5,16
880,35.2,12,5,17
881,35.24,11,5,16
882,35.28,11,5,16
883,35.32,11,5,16
884,35.36,11,5,16
